2024-03-29 18:46:37.727 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-03-29 18:46:37.958 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-03-29 18:46:37.971 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-03-29 18:46:37.980 [main] INFO  c.p.tripevolve.TripEvolveApplication - Started TripEvolveApplication in 3.193 seconds (process running for 3.807)
2024-03-29 18:47:03.288 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-29 18:47:03.288 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-29 18:47:03.289 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-03-29 18:47:03.377 [http-nio-8080-exec-2] INFO  c.p.t.s.impl.ItineraryServiceImpl - Generating schedule...
2024-03-29 18:47:15.493 [main] INFO  c.p.tripevolve.TripEvolveApplication - Starting TripEvolveApplication using Java 20 with PID 13112 (C:\Users\Iulia\Licenta-2024\backend\TripEvolve\target\classes started by Iulia in C:\Users\Iulia\Licenta-2024\backend\TripEvolve)
2024-03-29 18:47:15.495 [main] INFO  c.p.tripevolve.TripEvolveApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-29 18:47:16.029 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-29 18:47:16.092 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 57 ms. Found 5 JPA repository interfaces.
2024-03-29 18:47:16.489 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-03-29 18:47:16.496 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-03-29 18:47:16.499 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-29 18:47:16.500 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
2024-03-29 18:47:16.545 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-29 18:47:16.545 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1019 ms
2024-03-29 18:47:16.656 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-29 18:47:16.730 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@677ce519
2024-03-29 18:47:16.732 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-29 18:47:16.777 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-29 18:47:16.821 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
